H काल काल NP NNP NP k7t VGF ; H चुना चुन VGF VM VGF NULL ROOT ; R ; k7t 
ROOT  ;  H महत्‍व महत्व NP NN NP6 k1 VGF  ;  U ;  NULL
ROOT  ;  H स्‍थान स्थान NP NN NP5 r6 NP6  ;  U ;  NULL
ROOT  ;  H धर्मावलंबियों धर्मावलंबी NP NN NP k7a VGF  ;  U ;  NULL
ROOT  ;  H लुंबनी लुंबनी NP NNP NP2 ccof CCP  ;  U ;  NULL
H राजाओं राजा NP NN NP r6 NP2 ; H काल काल NP NN NP2 k7t VGF ; R ; r6 
H काल काल NP NN NP2 k7t VGF ; H किया कर VGF VM VGF NULL ROOT ; R ; k7t 
H चीन चीन NP NNP NP3 k5 VGF ; H किया कर VGF VM VGF NULL ROOT ; R ; k5 
H सांग सांग NP NNP NP4 ccof CCP ; H और और CCP CC CCP k1 VGF ; R ; ccof 
H फाह्यान फाह्यान NP NNP NP5 ccof CCP ; H और और CCP CC CCP k1 VGF ; R ; ccof 
H और और CCP CC CCP k1 VGF ; H किया कर VGF VM VGF NULL ROOT ; R ; k1 
H और और CCP CC CCP k1 VGF ; H इत्‍सिंग इत्त्‍सिंग NP NNP NP6 ccof CCP ; L ; ccof 
H अपने अपना NP PRP NP7 r6 NP8 ; H वृत्तांत वृत्तान्त NP NN NP8 k7 VGF ; R ; r6 
H वृत्तांत वृत्तान्त NP NN NP8 k7 VGF ; H किया कर VGF VM VGF NULL ROOT ; R ; k7 
H स्‍थान स्थान NP NN NP9 r6 NP10 ; H गौरव गौरव NP NN NP10 r6-k2 NP11 ; R ; r6 
H गौरव गौरव NP NN NP10 r6-k2 NP11 ; H वर्णन वर्णन NP NN NP11 pof VGF ; R ; r6-k2 
H वर्णन वर्णन NP NN NP11 pof VGF ; H किया कर VGF VM VGF NULL ROOT ; R ; pof 
ROOT ; H किया कर VGF VM VGF NULL ROOT ; L ; ROOT 
H किया कर VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H काल काल NP NN NP2 k7t VGF  ;  H वर्णन वर्णन NP NN NP11 pof VGF  ;  U ;  NULL
H काल काल NP NN NP2 k7t VGF  ;  H चीन चीन NP NNP NP3 k5 VGF  ;  U ;  NULL
H चीन चीन NP NNP NP3 k5 VGF  ;  H वर्णन वर्णन NP NN NP11 pof VGF  ;  U ;  NULL
H चीन चीन NP NNP NP3 k5 VGF  ;  H सांग सांग NP NNP NP4 ccof CCP  ;  U ;  NULL
H सांग सांग NP NNP NP4 ccof CCP  ;  H फाह्यान फाह्यान NP NNP NP5 ccof CCP  ;  U ;  NULL
H और और CCP CC CCP k1 VGF  ;  H वर्णन वर्णन NP NN NP11 pof VGF  ;  U ;  NULL
H और और CCP CC CCP k1 VGF  ;  H अपने अपना NP PRP NP7 r6 NP8  ;  U ;  NULL
H वृत्तांत वृत्तान्त NP NN NP8 k7 VGF  ;  H वर्णन वर्णन NP NN NP11 pof VGF  ;  U ;  NULL
H वृत्तांत वृत्तान्त NP NN NP8 k7 VGF  ;  H स्‍थान स्थान NP NN NP9 r6 NP10  ;  U ;  NULL
H गौरव गौरव NP NN NP10 r6-k2 NP11  ;  H किया कर VGF VM VGF NULL ROOT  ;  U ;  NULL
H स्‍थान स्थान NP NN NP9 r6 NP10  ;  H किया कर VGF VM VGF NULL ROOT  ;  U ;  NULL
H राजाओं राजा NP NN NP r6 NP2  ;  H किया कर VGF VM VGF NULL ROOT  ;  U ;  NULL
H सांग सांग NP NNP NP4 ccof CCP  ;  H किया कर VGF VM VGF NULL ROOT  ;  U ;  NULL
H वर्णन वर्णन NP NN NP11 pof VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H गौरव गौरव NP NN NP10 r6-k2 NP11  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H राजाओं राजा NP NN NP r6 NP2  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H काल काल NP NN NP2 k7t VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H वर्णन वर्णन NP NN NP11 pof VGF  ;  U ;  NULL
ROOT  ;  H गौरव गौरव NP NN NP10 r6-k2 NP11  ;  U ;  NULL
ROOT  ;  H राजाओं राजा NP NN NP r6 NP2  ;  U ;  NULL
ROOT  ;  H काल काल NP NN NP2 k7t VGF  ;  U ;  NULL
H कुशीनगर कुशीनगर NP NNP NP r6 NP2 ; H महत्‍व महत्व NP NN NP2 k1 VGF ; R ; r6 
H महत्‍व महत्व NP NN NP2 k1 VGF ; H है है VGF VM VGF NULL ROOT ; R ; k1 
H तीर्थ तीर्थ NP NN NP3 k7 VGF ; H है है VGF VM VGF NULL ROOT ; R ; k7 
ROOT ; H है है VGF VM VGF NULL ROOT ; L ; ROOT 
H है है VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H महत्‍व महत्व NP NN NP2 k1 VGF  ;  H तीर्थ तीर्थ NP NN NP3 k7 VGF  ;  U ;  NULL
H कुशीनगर कुशीनगर NP NNP NP r6 NP2  ;  H है है VGF VM VGF NULL ROOT  ;  U ;  NULL
H तीर्थ तीर्थ NP NN NP3 k7 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H महत्‍व महत्व NP NN NP2 k1 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H कुशीनगर कुशीनगर NP NNP NP r6 NP2  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H तीर्थ तीर्थ NP NN NP3 k7 VGF  ;  U ;  NULL
ROOT  ;  H महत्‍व महत्व NP NN NP2 k1 VGF  ;  U ;  NULL
ROOT  ;  H कुशीनगर कुशीनगर NP NNP NP r6 NP2  ;  U ;  NULL
H आइए आ VGF VM VGF rad VGF2 ; H करें कर VGF VM VGF2 NULL ROOT ; R ; rad 
ROOT ; H करें कर VGF VM VGF2 NULL ROOT ; L ; ROOT 
H करें कर VGF VM VGF2 NULL ROOT ; H सैर सैर NP NN NP pof VGF2 ; L ; pof 
H करें कर VGF VM VGF2 NULL ROOT ; H - - BLK SYM BLK rsym VGF2 ; L ; rsym 
H सैर सैर NP NN NP pof VGF2  ;  H - - BLK SYM BLK rsym VGF2  ;  U ;  NULL
H आइए आ VGF VM VGF rad VGF2  ;  H - - BLK SYM BLK rsym VGF2  ;  U ;  NULL
ROOT  ;  H सैर सैर NP NN NP pof VGF2  ;  U ;  NULL
ROOT  ;  H आइए आ VGF VM VGF rad VGF2  ;  U ;  NULL
H कुशीनगर कुशीनगर NP NNP NP r6 NP2 ; H सीमा सीमा NP NN NP2 k7p VGNF ; R ; r6 
H सीमा सीमा NP NN NP2 k7p VGNF ; H करते कर VGNF VM VGNF vmod VGF ; R ; k7p 
H प्रवेश प्रवेश NP NN NP3 pof VGNF ; H करते कर VGNF VM VGNF vmod VGF ; R ; pof 
H करते कर VGNF VM VGNF vmod VGF ; H करता कर VGF VM VGF NULL ROOT ; R ; vmod 
H प्रवेशद्वार प्रवेशद्वार NP NN NP4 k1 VGF ; H करता कर VGF VM VGF NULL ROOT ; R ; k1 
H आपका आप NP PRP NP5 r6-k2 NP6 ; H स्वागत स्वागत NP NN NP6 pof VGF ; R ; r6-k2 
H स्वागत स्वागत NP NN NP6 pof VGF ; H करता कर VGF VM VGF NULL ROOT ; R ; pof 
ROOT ; H करता कर VGF VM VGF NULL ROOT ; L ; ROOT 
H करता कर VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H सीमा सीमा NP NN NP2 k7p VGNF  ;  H प्रवेश प्रवेश NP NN NP3 pof VGNF  ;  U ;  NULL
H करते कर VGNF VM VGNF vmod VGF  ;  H स्वागत स्वागत NP NN NP6 pof VGF  ;  U ;  NULL
H करते कर VGNF VM VGNF vmod VGF  ;  H प्रवेशद्वार प्रवेशद्वार NP NN NP4 k1 VGF  ;  U ;  NULL
H प्रवेशद्वार प्रवेशद्वार NP NN NP4 k1 VGF  ;  H आपका आप NP PRP NP5 r6-k2 NP6  ;  U ;  NULL
H आपका आप NP PRP NP5 r6-k2 NP6  ;  H करता कर VGF VM VGF NULL ROOT  ;  U ;  NULL
H प्रवेश प्रवेश NP NN NP3 pof VGNF  ;  H करता कर VGF VM VGF NULL ROOT  ;  U ;  NULL
H कुशीनगर कुशीनगर NP NNP NP r6 NP2  ;  H करता कर VGF VM VGF NULL ROOT  ;  U ;  NULL
H सीमा सीमा NP NN NP2 k7p VGNF  ;  H करता कर VGF VM VGF NULL ROOT  ;  U ;  NULL
H स्वागत स्वागत NP NN NP6 pof VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H आपका आप NP PRP NP5 r6-k2 NP6  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H कुशीनगर कुशीनगर NP NNP NP r6 NP2  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H सीमा सीमा NP NN NP2 k7p VGNF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H स्वागत स्वागत NP NN NP6 pof VGF  ;  U ;  NULL
ROOT  ;  H आपका आप NP PRP NP5 r6-k2 NP6  ;  U ;  NULL
ROOT  ;  H कुशीनगर कुशीनगर NP NNP NP r6 NP2  ;  U ;  NULL
ROOT  ;  H सीमा सीमा NP NN NP2 k7p VGNF  ;  U ;  NULL
H इसके यह NP PRP NP k7t VGF ; H पड़ती पड़ VGF VM VGF NULL ROOT ; R ; k7t 
H तौर तौर NP NN NP2 k7 VGF ; H पड़ती पड़ VGF VM VGF NULL ROOT ; R ; k7 
H पर्यटकों पर्यटक NP NN NP3 r6 NP4 ; H निगाह निगाह NP NN NP4 k1 VGF ; R ; r6 
H निगाह निगाह NP NN NP4 k1 VGF ; H पड़ती पड़ VGF VM VGF NULL ROOT ; R ; k1 
H मंदिर मंदिर NP NNP NP5 rd VGF ; H पड़ती पड़ VGF VM VGF NULL ROOT ; R ; rd 
ROOT ; H पड़ती पड़ VGF VM VGF NULL ROOT ; L ; ROOT 
H पड़ती पड़ VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H इसके यह NP PRP NP k7t VGF  ;  H मंदिर मंदिर NP NNP NP5 rd VGF  ;  U ;  NULL
H इसके यह NP PRP NP k7t VGF  ;  H तौर तौर NP NN NP2 k7 VGF  ;  U ;  NULL
H तौर तौर NP NN NP2 k7 VGF  ;  H मंदिर मंदिर NP NNP NP5 rd VGF  ;  U ;  NULL
H तौर तौर NP NN NP2 k7 VGF  ;  H पर्यटकों पर्यटक NP NN NP3 r6 NP4  ;  U ;  NULL
H निगाह निगाह NP NN NP4 k1 VGF  ;  H मंदिर मंदिर NP NNP NP5 rd VGF  ;  U ;  NULL
H पर्यटकों पर्यटक NP NN NP3 r6 NP4  ;  H पड़ती पड़ VGF VM VGF NULL ROOT  ;  U ;  NULL
H मंदिर मंदिर NP NNP NP5 rd VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H निगाह निगाह NP NN NP4 k1 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H इसके यह NP PRP NP k7t VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H तौर तौर NP NN NP2 k7 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H मंदिर मंदिर NP NNP NP5 rd VGF  ;  U ;  NULL
ROOT  ;  H निगाह निगाह NP NN NP4 k1 VGF  ;  U ;  NULL
ROOT  ;  H इसके यह NP PRP NP k7t VGF  ;  U ;  NULL
ROOT  ;  H तौर तौर NP NN NP2 k7 VGF  ;  U ;  NULL
H वैसे वैसे RBP RB RBP k7p VGNF ; H दिखता दिख VGNF VM VGNF nmod__k1inv NP2 ; R ; k7p 
H दूर दूर NP NST NP k7p VGNF ; H दिखता दिख VGNF VM VGNF nmod__k1inv NP2 ; R ; k7p 
H दिखता दिख VGNF VM VGNF nmod__k1inv NP2 ; H पगोडा पगोडा NP NN NP2 k1 VGF ; R ; nmod__k1inv 
H पगोडा पगोडा NP NN NP2 k1 VGF ; H मोह मोह VGF VM VGF NULL ROOT ; R ; k1 
H अपने अपना NP PRP NP3 r6 NP4 ; H आकर्षण आकर्षण NP NN NP4 rh VGF ; R ; r6 
H आकर्षण आकर्षण NP NN NP4 rh VGF ; H मोह मोह VGF VM VGF NULL ROOT ; R ; rh 
H सभी सब NP PRP NP5 r6-k2 NP6 ; H मन मन NP NN NP6 pof VGF ; R ; r6-k2 
H मन मन NP NN NP6 pof VGF ; H मोह मोह VGF VM VGF NULL ROOT ; R ; pof 
ROOT ; H मोह मोह VGF VM VGF NULL ROOT ; L ; ROOT 
H मोह मोह VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H वैसे वैसे RBP RB RBP k7p VGNF  ;  H दूर दूर NP NST NP k7p VGNF  ;  U ;  NULL
H पगोडा पगोडा NP NN NP2 k1 VGF  ;  H मन मन NP NN NP6 pof VGF  ;  U ;  NULL
H पगोडा पगोडा NP NN NP2 k1 VGF  ;  H अपने अपना NP PRP NP3 r6 NP4  ;  U ;  NULL
H आकर्षण आकर्षण NP NN NP4 rh VGF  ;  H सभी सब NP PRP NP5 r6-k2 NP6  ;  U ;  NULL
H सभी सब NP PRP NP5 r6-k2 NP6  ;  H मोह मोह VGF VM VGF NULL ROOT  ;  U ;  NULL
H अपने अपना NP PRP NP3 r6 NP4  ;  H मोह मोह VGF VM VGF NULL ROOT  ;  U ;  NULL
H वैसे वैसे RBP RB RBP k7p VGNF  ;  H मोह मोह VGF VM VGF NULL ROOT  ;  U ;  NULL
H दूर दूर NP NST NP k7p VGNF  ;  H मोह मोह VGF VM VGF NULL ROOT  ;  U ;  NULL
H मन मन NP NN NP6 pof VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H सभी सब NP PRP NP5 r6-k2 NP6  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H वैसे वैसे RBP RB RBP k7p VGNF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H दूर दूर NP NST NP k7p VGNF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H मन मन NP NN NP6 pof VGF  ;  U ;  NULL
ROOT  ;  H सभी सब NP PRP NP5 r6-k2 NP6  ;  U ;  NULL
ROOT  ;  H वैसे वैसे RBP RB RBP k7p VGNF  ;  U ;  NULL
ROOT  ;  H दूर दूर NP NST NP k7p VGNF  ;  U ;  NULL
H कुशीनगर कुशीनगर NP NNP NP r6 NP2 ; H महत्‍व महत्व NP NN NP2 k1 VGF ; R ; r6 
H महत्‍व महत्व NP NN NP2 k1 VGF ; H है है VGF VM VGF NULL ROOT ; R ; k1 
H मंदिर मंदिर NP NNP NP3 rh VGF ; H है है VGF VM VGF NULL ROOT ; R ; rh 
ROOT ; H है है VGF VM VGF NULL ROOT ; L ; ROOT 
H है है VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H महत्‍व महत्व NP NN NP2 k1 VGF  ;  H मंदिर मंदिर NP NNP NP3 rh VGF  ;  U ;  NULL
H कुशीनगर कुशीनगर NP NNP NP r6 NP2  ;  H है है VGF VM VGF NULL ROOT  ;  U ;  NULL
H मंदिर मंदिर NP NNP NP3 rh VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H महत्‍व महत्व NP NN NP2 k1 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H कुशीनगर कुशीनगर NP NNP NP r6 NP2  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H मंदिर मंदिर NP NNP NP3 rh VGF  ;  U ;  NULL
ROOT  ;  H महत्‍व महत्व NP NN NP2 k1 VGF  ;  U ;  NULL
ROOT  ;  H कुशीनगर कुशीनगर NP NNP NP r6 NP2  ;  U ;  NULL
H मंदिर मंदिर NP NN NP r6 NP2 ; H स्‍थापत्‍य स्थापत्य NP NN NP2 k1 VGF ; R ; r6 
H स्‍थापत्‍य स्थापत्य NP NN NP2 k1 VGF ; H है है VGF VM VGF NULL ROOT ; R ; k1 
H अजंता अजंता NP NNP NP3 r6 NP4 ; H गुफाओं गुफा NP NN NP4 k3 VGF ; R ; r6 
H गुफाओं गुफा NP NN NP4 k3 VGF ; H है है VGF VM VGF NULL ROOT ; R ; k3 
H प्रेरित प्रेरित JJP JJ JJP k1s VGF ; H है है VGF VM VGF NULL ROOT ; R ; k1s 
ROOT ; H है है VGF VM VGF NULL ROOT ; L ; ROOT 
H है है VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H स्‍थापत्‍य स्थापत्य NP NN NP2 k1 VGF  ;  H प्रेरित प्रेरित JJP JJ JJP k1s VGF  ;  U ;  NULL
H स्‍थापत्‍य स्थापत्य NP NN NP2 k1 VGF  ;  H अजंता अजंता NP NNP NP3 r6 NP4  ;  U ;  NULL
H गुफाओं गुफा NP NN NP4 k3 VGF  ;  H प्रेरित प्रेरित JJP JJ JJP k1s VGF  ;  U ;  NULL
H अजंता अजंता NP NNP NP3 r6 NP4  ;  H है है VGF VM VGF NULL ROOT  ;  U ;  NULL
H मंदिर मंदिर NP NN NP r6 NP2  ;  H है है VGF VM VGF NULL ROOT  ;  U ;  NULL
H प्रेरित प्रेरित JJP JJ JJP k1s VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H गुफाओं गुफा NP NN NP4 k3 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H मंदिर मंदिर NP NN NP r6 NP2  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H स्‍थापत्‍य स्थापत्य NP NN NP2 k1 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H प्रेरित प्रेरित JJP JJ JJP k1s VGF  ;  U ;  NULL
ROOT  ;  H गुफाओं गुफा NP NN NP4 k3 VGF  ;  U ;  NULL
ROOT  ;  H मंदिर मंदिर NP NN NP r6 NP2  ;  U ;  NULL
ROOT  ;  H स्‍थापत्‍य स्थापत्य NP NN NP2 k1 VGF  ;  U ;  NULL
H मंदिर मंदिर NP NN NP r6 NP2 ; H डाट डाट NP NN NP2 k1 VGF ; R ; r6 
H डाट डाट NP NN NP2 k1 VGF ; H हैं है VGF VM VGF NULL ROOT ; R ; k1 
H हूबहू हूबहू RBP RB RBP adv VGF ; H हैं है VGF VM VGF NULL ROOT ; R ; adv 
H अजंता अजंता NP NNP NP3 r6 NP4 ; H गुफाओं गुफा NP NN NP4 r6 NP5 ; R ; r6 
H गुफाओं गुफा NP NN NP4 r6 NP5 ; H डाट डाट NP NN NP5 k1u VGF ; R ; r6 
H डाट डाट NP NN NP5 k1u VGF ; H हैं है VGF VM VGF NULL ROOT ; R ; k1u 
ROOT ; H हैं है VGF VM VGF NULL ROOT ; L ; ROOT 
H हैं है VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
