H काल काल NP NNP NP k7t VGF में ; H चुना चुन VGF VM VGF NULL ROOT NULL ; R ; k7t 
H वृत्तांत वृत्तान्त NP NN NP8 k7 VGF में ; H किया कर VGF VM VGF NULL ROOT NULL ; R ; k7 
H स्‍थान स्थान NP NN NP9 r6 NP10 के ; H गौरव गौरव NP NN NP10 r6-k2 NP11 का ; R ; r6 
H गौरव गौरव NP NN NP10 r6-k2 NP11 का ; H वर्णन वर्णन NP NN NP11 pof VGF NULL ; R ; r6-k2 
H वर्णन वर्णन NP NN NP11 pof VGF NULL ; H किया कर VGF VM VGF NULL ROOT NULL ; R ; pof 
ROOT ; H किया कर VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H किया कर VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H काल काल NP NN NP2 k7t VGF में  ;  H वर्णन वर्णन NP NN NP11 pof VGF NULL  ;  U ;  NULL
H काल काल NP NN NP2 k7t VGF में  ;  H चीन चीन NP NNP NP3 k5 VGF से  ;  U ;  NULL
H चीन चीन NP NNP NP3 k5 VGF से  ;  H वर्णन वर्णन NP NN NP11 pof VGF NULL  ;  U ;  NULL
H चीन चीन NP NNP NP3 k5 VGF से  ;  H सांग सांग NP NNP NP4 ccof CCP NULL  ;  U ;  NULL
H सांग सांग NP NNP NP4 ccof CCP NULL  ;  H फाह्यान फाह्यान NP NNP NP5 ccof CCP NULL  ;  U ;  NULL
H और और CCP CC CCP k1 VGF NULL  ;  H वर्णन वर्णन NP NN NP11 pof VGF NULL  ;  U ;  NULL
H और और CCP CC CCP k1 VGF NULL  ;  H अपने अपना NP PRP NP7 r6 NP8 NULL  ;  U ;  NULL
H वृत्तांत वृत्तान्त NP NN NP8 k7 VGF में  ;  H वर्णन वर्णन NP NN NP11 pof VGF NULL  ;  U ;  NULL
H वृत्तांत वृत्तान्त NP NN NP8 k7 VGF में  ;  H स्‍थान स्थान NP NN NP9 r6 NP10 के  ;  U ;  NULL
H गौरव गौरव NP NN NP10 r6-k2 NP11 का  ;  H किया कर VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H स्‍थान स्थान NP NN NP9 r6 NP10 के  ;  H किया कर VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H राजाओं राजा NP NN NP r6 NP2 के  ;  H किया कर VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H सांग सांग NP NNP NP4 ccof CCP NULL  ;  H किया कर VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H वर्णन वर्णन NP NN NP11 pof VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H गौरव गौरव NP NN NP10 r6-k2 NP11 का  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H राजाओं राजा NP NN NP r6 NP2 के  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H काल काल NP NN NP2 k7t VGF में  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H वर्णन वर्णन NP NN NP11 pof VGF NULL  ;  U ;  NULL
ROOT  ;  H गौरव गौरव NP NN NP10 r6-k2 NP11 का  ;  U ;  NULL
ROOT  ;  H राजाओं राजा NP NN NP r6 NP2 के  ;  U ;  NULL
ROOT  ;  H काल काल NP NN NP2 k7t VGF में  ;  U ;  NULL
H कुशीनगर कुशीनगर NP NNP NP r6 NP2 का ; H महत्‍व महत्व NP NN NP2 k1 VGF NULL ; R ; r6 
H महत्‍व महत्व NP NN NP2 k1 VGF NULL ; H है है VGF VM VGF NULL ROOT NULL ; R ; k1 
H तीर्थ तीर्थ NP NN NP3 k7 VGF के ; H है है VGF VM VGF NULL ROOT NULL ; R ; k7 
ROOT ; H है है VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H है है VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H महत्‍व महत्व NP NN NP2 k1 VGF NULL  ;  H तीर्थ तीर्थ NP NN NP3 k7 VGF के  ;  U ;  NULL
H कुशीनगर कुशीनगर NP NNP NP r6 NP2 का  ;  H है है VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H तीर्थ तीर्थ NP NN NP3 k7 VGF के  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H महत्‍व महत्व NP NN NP2 k1 VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H कुशीनगर कुशीनगर NP NNP NP r6 NP2 का  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H तीर्थ तीर्थ NP NN NP3 k7 VGF के  ;  U ;  NULL
ROOT  ;  H महत्‍व महत्व NP NN NP2 k1 VGF NULL  ;  U ;  NULL
ROOT  ;  H कुशीनगर कुशीनगर NP NNP NP r6 NP2 का  ;  U ;  NULL
H आइए आ VGF VM VGF rad VGF2 NULL ; H करें कर VGF VM VGF2 NULL ROOT NULL ; R ; rad 
ROOT ; H करें कर VGF VM VGF2 NULL ROOT NULL ; L ; ROOT 
H करें कर VGF VM VGF2 NULL ROOT NULL ; H सैर सैर NP NN NP pof VGF2 NULL ; L ; pof 
H करें कर VGF VM VGF2 NULL ROOT NULL ; H - - BLK SYM BLK rsym VGF2 NULL ; L ; rsym 
H सैर सैर NP NN NP pof VGF2 NULL  ;  H - - BLK SYM BLK rsym VGF2 NULL  ;  U ;  NULL
H आइए आ VGF VM VGF rad VGF2 NULL  ;  H - - BLK SYM BLK rsym VGF2 NULL  ;  U ;  NULL
ROOT  ;  H सैर सैर NP NN NP pof VGF2 NULL  ;  U ;  NULL
ROOT  ;  H आइए आ VGF VM VGF rad VGF2 NULL  ;  U ;  NULL
H कुशीनगर कुशीनगर NP NNP NP r6 NP2 की ; H सीमा सीमा NP NN NP2 k7p VGNF में ; R ; r6 
H सीमा सीमा NP NN NP2 k7p VGNF में ; H करते कर VGNF VM VGNF vmod VGF NULL ; R ; k7p 
H प्रवेश प्रवेश NP NN NP3 pof VGNF NULL ; H करते कर VGNF VM VGNF vmod VGF NULL ; R ; pof 
H करते कर VGNF VM VGNF vmod VGF NULL ; H करता कर VGF VM VGF NULL ROOT NULL ; R ; vmod 
H प्रवेशद्वार प्रवेशद्वार NP NN NP4 k1 VGF NULL ; H करता कर VGF VM VGF NULL ROOT NULL ; R ; k1 
H आपका आप NP PRP NP5 r6-k2 NP6 NULL ; H स्वागत स्वागत NP NN NP6 pof VGF NULL ; R ; r6-k2 
H स्वागत स्वागत NP NN NP6 pof VGF NULL ; H करता कर VGF VM VGF NULL ROOT NULL ; R ; pof 
ROOT ; H करता कर VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H करता कर VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H सीमा सीमा NP NN NP2 k7p VGNF में  ;  H प्रवेश प्रवेश NP NN NP3 pof VGNF NULL  ;  U ;  NULL
H करते कर VGNF VM VGNF vmod VGF NULL  ;  H स्वागत स्वागत NP NN NP6 pof VGF NULL  ;  U ;  NULL
H करते कर VGNF VM VGNF vmod VGF NULL  ;  H प्रवेशद्वार प्रवेशद्वार NP NN NP4 k1 VGF NULL  ;  U ;  NULL
H प्रवेशद्वार प्रवेशद्वार NP NN NP4 k1 VGF NULL  ;  H आपका आप NP PRP NP5 r6-k2 NP6 NULL  ;  U ;  NULL
H आपका आप NP PRP NP5 r6-k2 NP6 NULL  ;  H करता कर VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H प्रवेश प्रवेश NP NN NP3 pof VGNF NULL  ;  H करता कर VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H कुशीनगर कुशीनगर NP NNP NP r6 NP2 की  ;  H करता कर VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H सीमा सीमा NP NN NP2 k7p VGNF में  ;  H करता कर VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H स्वागत स्वागत NP NN NP6 pof VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H आपका आप NP PRP NP5 r6-k2 NP6 NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H कुशीनगर कुशीनगर NP NNP NP r6 NP2 की  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H सीमा सीमा NP NN NP2 k7p VGNF में  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H स्वागत स्वागत NP NN NP6 pof VGF NULL  ;  U ;  NULL
ROOT  ;  H आपका आप NP PRP NP5 r6-k2 NP6 NULL  ;  U ;  NULL
ROOT  ;  H कुशीनगर कुशीनगर NP NNP NP r6 NP2 की  ;  U ;  NULL
ROOT  ;  H सीमा सीमा NP NN NP2 k7p VGNF में  ;  U ;  NULL
H इसके यह NP PRP NP k7t VGF NULL ; H पड़ती पड़ VGF VM VGF NULL ROOT NULL ; R ; k7t 
H तौर तौर NP NN NP2 k7 VGF पर ; H पड़ती पड़ VGF VM VGF NULL ROOT NULL ; R ; k7 
H पर्यटकों पर्यटक NP NN NP3 r6 NP4 की ; H निगाह निगाह NP NN NP4 k1 VGF NULL ; R ; r6 
H निगाह निगाह NP NN NP4 k1 VGF NULL ; H पड़ती पड़ VGF VM VGF NULL ROOT NULL ; R ; k1 
H मंदिर मंदिर NP NNP NP5 rd VGF की ; H पड़ती पड़ VGF VM VGF NULL ROOT NULL ; R ; rd 
ROOT ; H पड़ती पड़ VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H पड़ती पड़ VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H इसके यह NP PRP NP k7t VGF NULL  ;  H मंदिर मंदिर NP NNP NP5 rd VGF की  ;  U ;  NULL
H इसके यह NP PRP NP k7t VGF NULL  ;  H तौर तौर NP NN NP2 k7 VGF पर  ;  U ;  NULL
H तौर तौर NP NN NP2 k7 VGF पर  ;  H मंदिर मंदिर NP NNP NP5 rd VGF की  ;  U ;  NULL
H तौर तौर NP NN NP2 k7 VGF पर  ;  H पर्यटकों पर्यटक NP NN NP3 r6 NP4 की  ;  U ;  NULL
H निगाह निगाह NP NN NP4 k1 VGF NULL  ;  H मंदिर मंदिर NP NNP NP5 rd VGF की  ;  U ;  NULL
H पर्यटकों पर्यटक NP NN NP3 r6 NP4 की  ;  H पड़ती पड़ VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H मंदिर मंदिर NP NNP NP5 rd VGF की  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H निगाह निगाह NP NN NP4 k1 VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H इसके यह NP PRP NP k7t VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H तौर तौर NP NN NP2 k7 VGF पर  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H मंदिर मंदिर NP NNP NP5 rd VGF की  ;  U ;  NULL
ROOT  ;  H निगाह निगाह NP NN NP4 k1 VGF NULL  ;  U ;  NULL
ROOT  ;  H इसके यह NP PRP NP k7t VGF NULL  ;  U ;  NULL
ROOT  ;  H तौर तौर NP NN NP2 k7 VGF पर  ;  U ;  NULL
H वैसे वैसे RBP RB RBP k7p VGNF NULL ; H दिखता दिख VGNF VM VGNF nmod__k1inv NP2 NULL ; R ; k7p 
H दूर दूर NP NST NP k7p VGNF से ; H दिखता दिख VGNF VM VGNF nmod__k1inv NP2 NULL ; R ; k7p 
H दिखता दिख VGNF VM VGNF nmod__k1inv NP2 NULL ; H पगोडा पगोडा NP NN NP2 k1 VGF NULL ; R ; nmod__k1inv 
H पगोडा पगोडा NP NN NP2 k1 VGF NULL ; H मोह मोह VGF VM VGF NULL ROOT NULL ; R ; k1 
H अपने अपना NP PRP NP3 r6 NP4 NULL ; H आकर्षण आकर्षण NP NN NP4 rh VGF के ; R ; r6 
H आकर्षण आकर्षण NP NN NP4 rh VGF के ; H मोह मोह VGF VM VGF NULL ROOT NULL ; R ; rh 
H सभी सब NP PRP NP5 r6-k2 NP6 का ; H मन मन NP NN NP6 pof VGF NULL ; R ; r6-k2 
H मन मन NP NN NP6 pof VGF NULL ; H मोह मोह VGF VM VGF NULL ROOT NULL ; R ; pof 
ROOT ; H मोह मोह VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H मोह मोह VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H वैसे वैसे RBP RB RBP k7p VGNF NULL  ;  H दूर दूर NP NST NP k7p VGNF से  ;  U ;  NULL
H पगोडा पगोडा NP NN NP2 k1 VGF NULL  ;  H मन मन NP NN NP6 pof VGF NULL  ;  U ;  NULL
H पगोडा पगोडा NP NN NP2 k1 VGF NULL  ;  H अपने अपना NP PRP NP3 r6 NP4 NULL  ;  U ;  NULL
H आकर्षण आकर्षण NP NN NP4 rh VGF के  ;  H सभी सब NP PRP NP5 r6-k2 NP6 का  ;  U ;  NULL
H सभी सब NP PRP NP5 r6-k2 NP6 का  ;  H मोह मोह VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H अपने अपना NP PRP NP3 r6 NP4 NULL  ;  H मोह मोह VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H वैसे वैसे RBP RB RBP k7p VGNF NULL  ;  H मोह मोह VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H दूर दूर NP NST NP k7p VGNF से  ;  H मोह मोह VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H मन मन NP NN NP6 pof VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H सभी सब NP PRP NP5 r6-k2 NP6 का  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H वैसे वैसे RBP RB RBP k7p VGNF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H दूर दूर NP NST NP k7p VGNF से  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H मन मन NP NN NP6 pof VGF NULL  ;  U ;  NULL
ROOT  ;  H सभी सब NP PRP NP5 r6-k2 NP6 का  ;  U ;  NULL
ROOT  ;  H वैसे वैसे RBP RB RBP k7p VGNF NULL  ;  U ;  NULL
ROOT  ;  H दूर दूर NP NST NP k7p VGNF से  ;  U ;  NULL
H कुशीनगर कुशीनगर NP NNP NP r6 NP2 का ; H महत्‍व महत्व NP NN NP2 k1 VGF NULL ; R ; r6 
H महत्‍व महत्व NP NN NP2 k1 VGF NULL ; H है है VGF VM VGF NULL ROOT NULL ; R ; k1 
H मंदिर मंदिर NP NNP NP3 rh VGF से ; H है है VGF VM VGF NULL ROOT NULL ; R ; rh 
ROOT ; H है है VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H है है VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H महत्‍व महत्व NP NN NP2 k1 VGF NULL  ;  H मंदिर मंदिर NP NNP NP3 rh VGF से  ;  U ;  NULL
H कुशीनगर कुशीनगर NP NNP NP r6 NP2 का  ;  H है है VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H मंदिर मंदिर NP NNP NP3 rh VGF से  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H महत्‍व महत्व NP NN NP2 k1 VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H कुशीनगर कुशीनगर NP NNP NP r6 NP2 का  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H मंदिर मंदिर NP NNP NP3 rh VGF से  ;  U ;  NULL
ROOT  ;  H महत्‍व महत्व NP NN NP2 k1 VGF NULL  ;  U ;  NULL
ROOT  ;  H कुशीनगर कुशीनगर NP NNP NP r6 NP2 का  ;  U ;  NULL
H मंदिर मंदिर NP NN NP r6 NP2 का ; H स्‍थापत्‍य स्थापत्य NP NN NP2 k1 VGF NULL ; R ; r6 
H स्‍थापत्‍य स्थापत्य NP NN NP2 k1 VGF NULL ; H है है VGF VM VGF NULL ROOT NULL ; R ; k1 
H अजंता अजंता NP NNP NP3 r6 NP4 की ; H गुफाओं गुफा NP NN NP4 k3 VGF से ; R ; r6 
H गुफाओं गुफा NP NN NP4 k3 VGF से ; H है है VGF VM VGF NULL ROOT NULL ; R ; k3 
H प्रेरित प्रेरित JJP JJ JJP k1s VGF NULL ; H है है VGF VM VGF NULL ROOT NULL ; R ; k1s 
ROOT ; H है है VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H है है VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H स्‍थापत्‍य स्थापत्य NP NN NP2 k1 VGF NULL  ;  H प्रेरित प्रेरित JJP JJ JJP k1s VGF NULL  ;  U ;  NULL
H स्‍थापत्‍य स्थापत्य NP NN NP2 k1 VGF NULL  ;  H अजंता अजंता NP NNP NP3 r6 NP4 की  ;  U ;  NULL
